City,District,Quarter,Net m²,Number of Rooms,Building Age,Floor Location,Number of Floors,Heating,Number of Baths,Balcony,Furnished,Price
Aydın,Efeler,Mimar Sinan,165,3+1,5-10 arası,8,8,Merkezi,2,Var,Hayır,3000000
Aydın,Efeler,Ata,120,3+1,21-25 arası,3,3,Doğalgaz (Kombi),1,Var,Hayır,800000
Aydın,Efeler,Meşrutiyet,50,1+1,2,3,4,Doğalgaz (Kombi),1,Var,Hayır,755000
Aydın,Efeler,Orta,85,2+1,4,2,5,Yerden Isıtma,1,Var,Hayır,1000000
Aydın,Efeler,Orta,45,1+1,5-10 arası,3,3,Doğalgaz (Kombi),1,Var,Evet,720000
Aydın,Efeler,Zeybek,150,3+1,3,2,5,Doğalgaz (Kombi),2,Var,Hayır,3100000
Aydın,Efeler,Cumhuriyet,145,3+1,0,5,7,Doğalgaz (Kombi),2,Var,Hayır,3375000
Aydın,Efeler,Mimar Sinan,150,3+1,5-10 arası,4,7,Doğalgaz (Kombi),2,Var,Hayır,1650000
Aydın,Efeler,Orta,85,2+1,3,3,3,Doğalgaz (Kombi),2,Var,Hayır,1050000
Aydın,Efeler,Mimar Sinan,120,3+1,4,1,3,Yerden Isıtma,2,Var,Hayır,2278000
Aydın,Efeler,Ata,100,2+1,2,3,3,Doğalgaz (Kombi),1,Var,Hayır,1200000
Aydın,Efeler,Fatih,132,3+1,0,2,4,Doğalgaz (Kombi),2,Var,Hayır,1320000
Aydın,Efeler,Güzelhisar,48,1+1,4,3,5,Doğalgaz (Kombi),1,Var,Evet,899000
Aydın,Efeler,Kurtuluş,80,2+1,26-30 arası,6,6,Doğalgaz (Kombi),1,Var,Hayır,1085000
Aydın,Efeler,Efeler,220,4+1,16-20 arası,3,6,Doğalgaz (Kombi),2,Var,Hayır,2100000
Aydın,Efeler,Zafer,56,1+1,0,2,4,Doğalgaz (Kombi),1,Yok,Hayır,475000
Aydın,Efeler,Kurtuluş,85,2+1,26-30 arası,6,6,Soba,1,Var,Hayır,1080000
Aydın,Efeler,Meşrutiyet,120,3+1,11-15 arası,2,4,Doğalgaz (Kombi),2,Var,Hayır,1850000
Aydın,Efeler,Mimar Sinan,130,3+1,21-25 arası,2,4,Doğalgaz (Kombi),1,Var,Hayır,1375000
Aydın,Efeler,Adnan Menderes,130,3+1,21-25 arası,4,4,Doğalgaz (Kombi),1,Var,Hayır,1650000
Aydın,Efeler,Girne,90,2+1,4,Zemin Kat,3,Doğalgaz (Kombi),1,Var,Hayır,1305000
Aydın,Efeler,Adnan Menderes,145,3+1,5-10 arası,1,8,Doğalgaz (Kombi),2,Var,Hayır,2300000
Aydın,Efeler,Mimar Sinan,150,3+1,16-20 arası,2,7,Merkezi,2,Var,Hayır,2150000
Aydın,Efeler,Zafer,45,1+1,4,1,5,Merkezi,1,Yok,Evet,750000
Aydın,Efeler,Ata,85,2+1,0,2,3,Doğalgaz (Kombi),1,Var,Hayır,1580000
Aydın,Efeler,Mimar Sinan,130,3+1,5-10 arası,1,3,Doğalgaz (Kombi),1,Var,Hayır,2100000
Aydın,Efeler,Orta,48,1+1,2,4,4,Merkezi,1,Var,Hayır,625000
Aydın,Efeler,Zafer,70,2+1,4,1,4,Merkezi,1,Var,Hayır,890000
Aydın,Efeler,Güzelhisar,55,1+1,5-10 arası,1,4,Klima,1,Var,Evet,750000
Aydın,Efeler,Orta,80,2+1,2,5,5,Yerden Isıtma,1,Var,Evet,825000
Aydın,Efeler,Hasanefendi - Ramazan Paşa,45,1+1,1,2,5,Yerden Isıtma,1,Yok,Hayır,750000
Aydın,Efeler,Kurtuluş,110,2+1,21-25 arası,1,4,Doğalgaz (Kombi),1,Var,Hayır,990000
Aydın,Efeler,Ata,131,3+1,0,4,5,Yerden Isıtma,2,Var,Hayır,2860000
Aydın,Efeler,Güzelhisar,80,2+1,0,3,4,Doğalgaz (Kombi),1,Var,Hayır,1500000
Aydın,Efeler,Yedi Eylül,210,4+1,11-15 arası,1,7,Merkezi,2,Var,Hayır,1750000
Aydın,Efeler,Adnan Menderes,40,1+1,5-10 arası,2,4,Doğalgaz (Kombi),1,Var,Evet,850000
Aydın,Efeler,Fatih,140,3+1,2,2,3,Doğalgaz (Kombi),2,Var,Hayır,2000000
Aydın,Efeler,Mimar Sinan,140,3+1,5-10 arası,3,3,Doğalgaz (Kombi),2,Var,Hayır,2550000
Aydın,Efeler,Efeler,120,3+1,16-20 arası,1,6,Soba,1,Var,Hayır,1120000
Aydın,Efeler,Mimar Sinan,165,4+1,5-10 arası,7,8,Merkezi,2,Var,Hayır,3350000
Aydın,Efeler,Efeler,140,3+1,1,3,3,Doğalgaz (Kombi),2,Var,Hayır,1830000
Aydın,Efeler,Cuma,50,1+1,4,2,4,Doğalgaz (Kombi),1,Var,Hayır,715000
Aydın,Efeler,Ata,100,2+1,5-10 arası,2,3,Doğalgaz (Kombi),1,Var,Hayır,1365000
Aydın,Efeler,Mimar Sinan,120,3+1,16-20 arası,8,8,Doğalgaz (Kombi),2,Var,Hayır,2050000
Aydın,Efeler,Kurtuluş,55,2+1,5-10 arası,2,5,Doğalgaz (Kombi),1,Var,Hayır,990000
Aydın,Efeler,Ata,170,3+1,4,3,3,Doğalgaz (Kombi),2,Var,Hayır,1620000
Aydın,Efeler,Kemer,200,4+1,5-10 arası,4,4,Doğalgaz (Kombi),4,Var,Hayır,3000000
Aydın,Efeler,Zafer,50,1+1,5-10 arası,4,5,Klima,1,Var,Hayır,650000
Aydın,Efeler,Adnan Menderes,120,3+1,5-10 arası,2,5,Doğalgaz (Kombi),1,Var,Hayır,2050000
Aydın,Efeler,Ata,115,3+1,4,2,3,Doğalgaz (Kombi),1,Var,Evet,1299000
Aydın,Efeler,Efeler,115,2+1,0,5,5,Yerden Isıtma,2,Var,Hayır,1500000
Aydın,Efeler,Güzelhisar,120,3+1,21-25 arası,7,7,Doğalgaz (Kombi),1,Var,Hayır,1050000
Aydın,Efeler,Fatih,220,4+1,11-15 arası,4,4,Merkezi,3,Var,Hayır,2300000
Aydın,Efeler,Zafer,125,3+1,21-25 arası,2,4,Doğalgaz (Kombi),1,Var,Hayır,875000
Aydın,Efeler,Zafer,50,2+0,5-10 arası,2,4,Doğalgaz (Kombi),1,Var,Evet,760000
Aydın,Efeler,Fatih,225,4+1,0,4,4,Yerden Isıtma,3,Var,Hayır,2500000
Aydın,Efeler,Girne,50,1+1,5-10 arası,1,4,Doğalgaz (Kombi),1,Var,Evet,850000
Aydın,Efeler,Fatih,120,3+1,5-10 arası,1,4,Doğalgaz (Kombi),1,Var,Hayır,1980000
Aydın,Efeler,Güzelhisar,75,2+1,1,2,5,Doğalgaz (Kombi),1,Var,Hayır,1360000
Aydın,Efeler,Meşrutiyet,105,3+1,21-25 arası,3,4,Soba,1,Var,Hayır,1050000
Aydın,Efeler,Güzelhisar,85,2+1,0,4,5,Doğalgaz (Kombi),1,Var,Hayır,1500000
Aydın,Efeler,Güzelhisar,135,3+1,11-15 arası,2,5,Doğalgaz (Kombi),2,Var,Hayır,1400000
Aydın,Efeler,Mimar Sinan,145,3+1,5-10 arası,1,3,Doğalgaz (Kombi),1,Var,Hayır,2050000
Aydın,Efeler,Kurtuluş,120,3+1,26-30 arası,1,4,Doğalgaz (Kombi),1,Var,Hayır,1050000
Aydın,Efeler,Kurtuluş,125,3+1,26-30 arası,3,4,Doğalgaz (Kombi),1,Var,Hayır,980000
Aydın,Efeler,Kemer,150,4+1,5-10 arası,3,3,Doğalgaz (Kombi),2,Var,Hayır,2200000
Aydın,Efeler,Güzelhisar,115,3+1,26-30 arası,2,3,Soba,1,Var,Hayır,850000
Aydın,Efeler,Cumhuriyet,45,1+1,0,1,5,Klima,1,Var,Hayır,929000
Aydın,Efeler,Meşrutiyet,125,3+1,0,1,5,Doğalgaz (Kombi),1,Var,Hayır,1850000
Aydın,Efeler,Kurtuluş,155,3+1,21-25 arası,3,8,Doğalgaz (Kombi),1,Var,Evet,1400000
Aydın,Efeler,Efeler,105,3+1,21-25 arası,1,3,Doğalgaz (Kombi),1,Var,Hayır,1600000
Aydın,Efeler,Zafer,65,2+1,0,1,5,Doğalgaz (Kombi),1,Var,Hayır,1450000
Aydın,Efeler,Kemer,155,3+1,5-10 arası,6,6,Doğalgaz (Kombi),2,Var,Hayır,2470000
Aydın,Efeler,Ata,105,2+1,0,1,3,Doğalgaz (Kombi),1,Var,Hayır,1400000
Aydın,Efeler,Adnan Menderes,240,6+1,4,4,4,Doğalgaz (Kombi),3,Var,Hayır,2600000
Aydın,Efeler,Girne,70,2+1,0,2,3,Doğalgaz (Kombi),1,Var,Hayır,1475000
Aydın,Efeler,Köprülü - Veysipaşa,125,3+1,31 ve üzeri,4,4,Doğalgaz (Kombi),1,Var,Hayır,880000
Aydın,Efeler,Adnan Menderes,130,3+1,5-10 arası,5,8,Doğalgaz (Kombi),2,Var,Hayır,2700000
Aydın,Efeler,Adnan Menderes,300,4+1,5-10 arası,4,4,Doğalgaz (Kombi),2,Var,Hayır,2525000
Aydın,Efeler,Girne,70,2+1,0,4,4,Doğalgaz (Kombi),1,Var,Hayır,1330000
Aydın,Efeler,Efeler,165,4+1,11-15 arası,7,8,Doğalgaz (Kombi),1,Var,Belirtilmemiş,1700000
Aydın,Efeler,Ata,135,3+1,0,5,8,Merkezi (Pay Ölçer),2,Var,Hayır,2100000
Aydın,Efeler,Orta,50,1+1,5-10 arası,4,4,Merkezi,1,Var,Hayır,575000
Aydın,Efeler,Adnan Menderes,55,1+1,0,4,4,Doğalgaz (Kombi),1,Var,Hayır,1150000
Aydın,Efeler,Fatih,80,2+1,3,1,4,Merkezi,1,Var,Hayır,1485000
Aydın,Efeler,Girne,42,1+1,1,3,3,Doğalgaz (Kombi),1,Var,Evet,920000
Aydın,Efeler,Efeler,130,3+1,0,3,5,Doğalgaz (Kombi),1,Var,Hayır,2150000
Aydın,Efeler,Güzelhisar,120,3+1,16-20 arası,3,4,Doğalgaz (Kombi),1,Var,Hayır,1000000
Aydın,Efeler,Orta,65,2+1,5-10 arası,2,4,Merkezi,1,Yok,Evet,745000
Aydın,Efeler,Kemer,85,2+1,0,2,3,Doğalgaz (Kombi),1,Var,Hayır,1050000
Aydın,Efeler,Meşrutiyet,120,2+1,16-20 arası,2,5,Doğalgaz (Kombi),1,Var,Hayır,1050000
Aydın,Efeler,Ata,130,3+1,2,2,3,Doğalgaz (Kombi),2,Var,Hayır,1750000
Aydın,Efeler,Güzelhisar,135,3+1,21-25 arası,4,4,Klima,1,Var,Hayır,830000
Aydın,Efeler,Girne,100,2+1,4,2,3,Doğalgaz (Kombi),1,Var,Hayır,1850000
Aydın,Efeler,Yedi Eylül,140,3+1,21-25 arası,3,7,Yok,1,Var,Hayır,2300000
Aydın,Efeler,Zafer,55,2+0,5-10 arası,Yüksek Giriş,3,Doğalgaz (Kombi),1,Yok,Evet,1150000
Aydın,Efeler,Mimar Sinan,155,3+1,11-15 arası,6,10,Doğalgaz (Kombi),1,Var,Hayır,2850000
Aydın,Efeler,Kemer,100,2+1,21-25 arası,Müstakil,1,Doğalgaz (Kombi),1,Var,Hayır,555000
Aydın,Efeler,Zeybek,90,2+1,4,1,5,Doğalgaz (Kombi),1,Var,Hayır,1350000
Aydın,Efeler,Efeler,145,3+1,0,2,5,Merkezi (Pay Ölçer),2,Var,Hayır,3000000
Aydın,Efeler,Köprülü - Veysipaşa,90,2+0,31 ve üzeri,Yüksek Giriş,5,Doğalgaz (Kombi),1,Var,Evet,750000
Aydın,Efeler,Adnan Menderes,40,1+1,5-10 arası,2,4,Doğalgaz (Kombi),1,Var,Evet,850000
Aydın,Efeler,Efeler,110,3+1,0,4,4,Yerden Isıtma,1,Var,Hayır,1900000
Aydın,Efeler,Zeybek,135,3+1,0,2,3,Doğalgaz (Kombi),2,Var,Hayır,2500000
Aydın,Efeler,Mimar Sinan,145,3+1,16-20 arası,4,9,Doğalgaz (Kombi),1,Var,Hayır,1800000
Aydın,Efeler,Mimar Sinan,130,3+1,5-10 arası,2,3,Doğalgaz (Kombi),1,Var,Hayır,1950000
Aydın,Efeler,Meşrutiyet,45,1+1,5-10 arası,6,6,Merkezi,1,Var,Hayır,825000
Aydın,Efeler,Ata,100,2+1,0,1,3,Yerden Isıtma,1,Var,Hayır,1230000
Aydın,Efeler,Orta,45,1+1,4,2,5,Klima,1,Yok,Evet,675000
Aydın,Efeler,Cumhuriyet,680,3+1,31 ve üzeri,Müstakil,5,Soba,1,Var,Hayır,5250000
Aydın,Efeler,Efeler,160,3+1,0,2,3,Doğalgaz (Kombi),2,Var,Hayır,2750000
Aydın,Efeler,Zeybek,140,3+1,5-10 arası,2,4,Doğalgaz (Kombi),2,Var,Hayır,1900000
Aydın,Efeler,Güzelhisar,180,3+1,26-30 arası,3,3,Yok,1,Var,Hayır,1100000
Aydın,Efeler,Yedi Eylül,150,3+1,21-25 arası,4,7,Doğalgaz (Kombi),1,Var,Hayır,2000000
Aydın,Efeler,Girne,40,1+1,3,1,3,Doğalgaz (Kombi),1,Yok,Hayır,790000
Aydın,Efeler,Efeler,165,3+1,3,5,6,Doğalgaz (Kombi),2,Var,Hayır,2250000
Aydın,Efeler,Zafer,50,2+0,5-10 arası,4,5,Doğalgaz (Kombi),1,Var,Evet,850000
Aydın,Efeler,Adnan Menderes,135,3+1,5-10 arası,2,5,Doğalgaz (Kombi),1,Var,Hayır,1950000
Aydın,Efeler,Orta,25,Stüdyo (1+0),5-10 arası,3,6,Klima,1,Var,Evet,900000
Aydın,Efeler,Cumhuriyet,167,3+1,21-25 arası,1,6,Doğalgaz (Kombi),2,Var,Hayır,2550000
Aydın,Efeler,Meşrutiyet,55,1+1,4,4,4,Doğalgaz (Kombi),1,Yok,Evet,855000
Aydın,Efeler,Ata,95,2+1,0,1,3,Doğalgaz (Kombi),1,Var,Hayır,1135000
Aydın,Efeler,Cuma,40,1+1,3,2,4,Merkezi,1,Var,Evet,715000
Aydın,Efeler,Ata,140,3+1,21-25 arası,4,4,Doğalgaz (Kombi),1,Var,Hayır,1050000
Aydın,Efeler,Kemer,75,2+1,0,Giriş Katı,2,Doğalgaz (Kombi),1,Var,Hayır,1040000
Aydın,Efeler,Güzelhisar,70,2+1,5-10 arası,1,4,Doğalgaz (Kombi),1,Var,Hayır,1200000
Aydın,Efeler,Zafer,45,1+1,0,3,4,Doğalgaz (Kombi),1,Var,Hayır,950000
Aydın,Efeler,Zeybek,270,5+1,5-10 arası,5,5,Doğalgaz (Kombi),2,Var,Hayır,2500000
Aydın,Efeler,Mimar Sinan,220,3+1,11-15 arası,4,8,Doğalgaz (Kombi),2,Var,Hayır,3200000
Aydın,Efeler,Zeybek,300,5+1,0,5,5,Doğalgaz (Kombi),3,Var,Hayır,3200000
Aydın,Efeler,Kemer,85,2+1,0,Yüksek Giriş,3,Yerden Isıtma,1,Var,Hayır,1000000
Aydın,Efeler,Fatih,120,3+1,0,3,3,Doğalgaz (Kombi),1,Var,Hayır,1760000
Aydın,Efeler,Çeştepe,170,3+1,2,2,5,Doğalgaz (Kombi),2,Var,Hayır,2495000
Aydın,Efeler,Efeler,125,3+1,21-25 arası,2,7,Doğalgaz (Kombi),1,Var,Hayır,1050000
Aydın,Efeler,Efeler,165,3+1,0,5,6,Doğalgaz (Kombi),3,Var,Hayır,2950000
Aydın,Efeler,Yedi Eylül,100,2+1,1,3,5,Doğalgaz (Kombi),1,Var,Hayır,1520000
Aydın,Efeler,Köprülü - Veysipaşa,165,4+1,4,4,4,Doğalgaz (Kombi),2,Var,Hayır,2200000
Aydın,Efeler,Mimar Sinan,160,4+1,5-10 arası,8,10,Doğalgaz (Kombi),2,Var,Hayır,3100000
Aydın,Efeler,Adnan Menderes,140,3+1,26-30 arası,Yüksek Giriş,5,Doğalgaz (Kombi),1,Var,Hayır,950000
Aydın,Efeler,Fatih,150,3+1,0,6,6,Yerden Isıtma,2,Var,Hayır,2750000
Aydın,Efeler,Orta,70,2+1,3,4,4,Yerden Isıtma,1,Var,Hayır,850000
Aydın,Efeler,Zafer,60,1+1,0,3,4,Doğalgaz (Kombi),1,Var,Hayır,870000
Aydın,Efeler,Zafer,60,1+1,0,3,4,Doğalgaz (Kombi),1,Var,Hayır,870000
Aydın,Efeler,Kurtuluş,207,6+1,31 ve üzeri,1,1,Yok,4,Yok,Hayır,2150000
Aydın,Efeler,Adnan Menderes,145,3+1,11-15 arası,2,5,Yok,1,Var,Hayır,1000000
Aydın,Efeler,Cuma,38,1+1,4,5,5,Doğalgaz (Kombi),1,Yok,Evet,670000
Aydın,Efeler,Kurtuluş,60,1+1,0,2,5,Doğalgaz (Kombi),1,Var,Evet,950000
Aydın,Efeler,Mimar Sinan,160,3+1,11-15 arası,4,8,Doğalgaz (Kombi),2,Var,Hayır,2250000
Aydın,Efeler,Yedi Eylül,135,3+1,16-20 arası,3,6,Doğalgaz (Kombi),1,Var,Hayır,1550000
Aydın,Efeler,Efeler,110,3+1,0,1,3,Doğalgaz (Kombi),1,Var,Hayır,1640000
Aydın,Efeler,Mimar Sinan,135,3+1,3,3,3,Doğalgaz (Kombi),2,Var,Hayır,1750000
Aydın,Efeler,Zafer,40,Stüdyo (1+0),11-15 arası,1,7,Merkezi (Pay Ölçer),1,Yok,Hayır,530000
Aydın,Efeler,Kurtuluş,120,3+1,21-25 arası,1,3,Doğalgaz (Kombi),1,Var,Hayır,1450000
Aydın,Efeler,Zafer,90,2+1,26-30 arası,5,5,Klima,1,Var,Hayır,675000
Aydın,Efeler,Adnan Menderes,140,3+1,11-15 arası,4,6,Doğalgaz (Kombi),1,Var,Hayır,1850000
Aydın,Efeler,Girne,260,5+1,5-10 arası,3,3,Doğalgaz (Kombi),3,Var,Hayır,3500000
Aydın,Efeler,Kurtuluş,145,3+1,31 ve üzeri,3,4,Doğalgaz (Kombi),2,Var,Hayır,1250000
Aydın,Efeler,Zafer,55,1+1,5-10 arası,2,5,Klima,1,Var,Evet,760000
Aydın,Efeler,Orta,55,2+0,0,2,5,Doğalgaz (Kombi),1,Var,Hayır,1300000
Aydın,Efeler,Cumhuriyet,40,1+1,4,4,5,Doğalgaz (Kombi),1,Var,Evet,1100000
Aydın,Efeler,Girne,100,2+1,5-10 arası,4,4,Doğalgaz (Kombi),1,Var,Hayır,1285000
Aydın,Efeler,Efeler,120,3+1,5-10 arası,3,4,Merkezi,2,Var,Hayır,2680000
Aydın,Efeler,Adnan Menderes,130,3+1,0,3,5,Yerden Isıtma,2,Var,Belirtilmemiş,3150000
Aydın,Efeler,Fatih,220,4+1,5-10 arası,4,4,Doğalgaz (Kombi),2,Var,Hayır,2060000
Aydın,Efeler,Yedi Eylül,120,3+1,11-15 arası,1,5,Doğalgaz (Kombi),1,Var,Hayır,1700000
Aydın,Efeler,Yedi Eylül,150,3+2,5-10 arası,7,7,Doğalgaz (Kombi),2,Var,Hayır,2300000
